tube_nb;sample;calanus_morpho;mass_mg;asta_ng_mg;asta_mass_ratio;fjord;fjord_dim;analysis;copepod_quantity;year
1;B_A1_S;red antenna;3,063;3,544;1,157;Bellsund;B;Astaxa;10;2019
2;B_A2_S;red antenna;3,088;2,251;0,729;Bellsund;B;Astaxa;11;2019
3;B_A3_S;red antenna;3,947;2,97;0,752;Bellsund;B;Astaxa;12;2019
4;B_A4_S;red antenna;3,755;4,849;1,291;Bellsund;B;Astaxa;13;2019
5;B_A1_L;pale & large;2,66;2,362;0,888;Bellsund;B;Astaxa;10;2019
6;B_A2_L;pale & large;1,69;2,164;1,28;Bellsund;B;Astaxa;10;2019
7;B_A3_L;pale & large;3,8;2,399;0,631;Bellsund;B;Astaxa;10;2019
8;H_A1_L;large;7,832;4,779;0,61;Hornsund;H2;Astaxa;10;2019
9;H_A2_L;large;7,471;4,336;0,58;Hornsund;H2;Astaxa;10;2019
10;H_A3_L;large;6,413;3,557;0,555;Hornsund;H2;Astaxa;10;2019
11;H_A1_S;small;2,73;4,813;1,763;Hornsund;H2;Astaxa;10;2019
12;H_A2_S;small;3,98;3,027;0,761;Hornsund;H2;Astaxa;10;2019
13;H_A3_S;small;2,828;3,988;1,41;Hornsund;H2;Astaxa;10;2019
14;ISF_A_L;large;7,298;4,398;0,603;Isfjord;eISF;Astaxa;10;2019
15;ISF_B_L;large;6,682;5,473;0,819;Isfjord;eISF;Astaxa;10;2019
16;ISF_C_L;large;6,109;6,613;1,083;Isfjord;eISF;Astaxa;10;2019
17;ISF_D_L;large;7,804;6,148;0,788;Isfjord;eISF;Astaxa;10;2019
18;ISF_A_S;small;2,158;10,828;5,018;Isfjord;eISF;Astaxa;10;2019
19;ISF_B_S;small;3,067;6,008;1,959;Isfjord;eISF;Astaxa;10;2019
20;ISF_C_S;small;2,492;7,262;2,914;Isfjord;eISF;Astaxa;10;2019
21;ISF_D_S;small;1,667;6,444;3,866;Isfjord;eISF;Astaxa;10;2019
22;K_A_G;large, red antenna;4,532;3,143;0,694;Kongsfjord;KB0;Astaxa;10;2019
23;K_B_G;large, red antenna;5,043;5,346;1,06;Kongsfjord;KB0;Astaxa;10;2019
24;K_C_G;large, red antenna;5,675;6,007;1,059;Kongsfjord;KB0;Astaxa;10;2019
25;K_A1_S;small, red antenna ;1,779;10,734;6,034;Kongsfjord;KB0;Astaxa;10;2019
26;K_B_S;small, red antenna ;2,325;9,125;3,925;Kongsfjord;KB0;Astaxa;10;2019
27;K_C_S;small, red antenna ;2,142;6,189;2,889;Kongsfjord;KB0;Astaxa;10;2019
28;K_A1_L;pale & fatty;3,303;2,813;0,852;Kongsfjord;KB0;Astaxa;10;2019
29;K_B_L;pale & fatty;3,384;3,114;0,92;Kongsfjord;KB0;Astaxa;10;2019
30;K_C_L;pale & fatty;2,713;2,634;0,971;Kongsfjord;KB0;Astaxa;10;2019
