tube_nb ;sample;calanus_type;mass_mg;asta_ng_mg;region;region_calanus_type;year
1;21 AR;L;5,6;2,865;AR;AR_L;2018
2;22 AR;L;5,1;3,241;AR;AR_L;2018
3;23 AR;L;5,2;3,035;AR;AR_L;2018
4;24 AR;S;2,3;1,472;AR;AR_S;2018
5;25 AR;S;1,8;1,334;AR;AR_S;2018
6;26 AR;L;6,2;2,615;AR;AT_L;2018
7;27 AR;L;6,9;2,340;AR;AR_L;2018
8;28 AR;S;3,1;1,588;AR;AR_S;2018
9;29 AR;S;3;1,398;AR;AR_S;2018
10;30 AR;S;2,8;1,397;AR;AR_S;2018
11;51 F;L;7,2;1,708;F;F_L;2018
12;52 F;L;6,2;2,075;F;F_L;2018
13;53 F;L;4,6;1,206;F;F_L;2018
14;54 F;S;2,7;0,912;F;F_S;2018
15;55 F;S;2,5;1,202;F;F_S;2018
16;56 F;L;3,9;2,092;F;F_L;2018
17;57 F;L;4,1;2,077;F;F_L;2018
18;58 F;S;1,2;2,170;F;F_S;2018
19;59 F;S;2;1,134;F;F_S;2018
20;60 F;S;3,1;0,929;F;F_S;2018
21;81 G;L;6,9;0,606;G;G_L;2018
22;82 G ;L;6,1;0,525;G;G_L;2018
23;83 G;L;4,4;0,706;G;G_L;2018
24;84 G;S;0,7;0,507;G;G_S;2018
25;85 G;S;1,7;0,499;G;G_S;2018
26;86 G;S;1,5;0,229;G;G_S;2018
27;87 G;L;4,2;0,431;G;G_L;2018
28;88 G;L;5,1;0,798;G;G_L;2018
29;89 G;S;0,6;1,362;G;G_S;2018
30;90 G;S;1,4;0,347;G;G_S;2018
31;101 AT;S;4;1,948;AT;AT_S;2018
32;102 AT;S;4;2,011;AT;AT_S;2018
33;103 AT;S;4,1;2,131;AT;AT_S;2018
34;104 AT;S;3,8;2,440;AT;AT_S;2018
35;105 AT;S;3,9;3,191;AT;AT_S;2018
36;116 AT;s-cvif;2,9;7,491;AT;AT_s-cvif;2018
37;117 AT;s-cvif;2,7;6,443;AT;AT_s-cvif;2018
38;118 AT;s-cvif;3,1;6,993;AT;AT_s-cvif;2018
39;119 AT;s-cvif;2,8;7,740;AT;AT_s-cvif;2018
40;120 AT;s-cvif;3,5;7,488;AT;AT_s-cvif;2018
