image_name,sample_name,year,station,sample,stage,ind,length,calanus_type
2018_G_p81_1.tif,G_p81,2018,G,p81,CV,1,3.5,NA
2018_G_p81_2.tif,G_p81,2018,G,p81,CV,2,3.11,NA
2018_G_p81_3.tif,G_p81,2018,G,p81,CV,3,3.08,NA
2018_G_p81_4.tif,G_p81,2018,G,p81,CV,4,3.27,NA
2018_G_p81_5.tif,G_p81,2018,G,p81,CV,5,3.04,NA
2018_G_p81_6.tif,G_p81,2018,G,p81,CV,6,3.26,NA
2018_G_p81_7.tif,G_p81,2018,G,p81,CV,7,3.12,NA
2018_G_p81_8.tif,G_p81,2018,G,p81,CV,8,3.45,NA
2018_G_p81_9.tif,G_p81,2018,G,p81,CV,9,3.34,NA
2018_G_p81_10.tif,G_p81,2018,G,p81,CV,10,3.09,NA
2018_G_p82_1.tif,G_p82,2018,G,p82,CV,1,3.25,NA
2018_G_p82_2.tif,G_p82,2018,G,p82,CV,2,3.13,NA
2018_G_p82_3.tif,G_p82,2018,G,p82,CV,3,3.35,NA
2018_G_p82_4.tif,G_p82,2018,G,p82,CV,4,3.35,NA
2018_G_p82_5.tif,G_p82,2018,G,p82,CV,5,3.07,NA
2018_G_p82_6.tif,G_p82,2018,G,p82,CV,6,3.24,NA
2018_G_p82_7.tif,G_p82,2018,G,p82,CV,7,3.24,NA
2018_G_p82_8.tif,G_p82,2018,G,p82,CV,8,3.38,NA
2018_G_p82_9.tif,G_p82,2018,G,p82,CV,9,3.01,NA
2018_G_p82_10.tif,G_p82,2018,G,p82,CV,10,3.22,NA
2018_G_p83_1.tif,G_p83,2018,G,p83,CV,1,3,NA
2018_G_p83_2.tif,G_p83,2018,G,p83,CV,2,3.18,NA
2018_G_p83_3.tif,G_p83,2018,G,p83,CV,3,3.19,NA
2018_G_p83_4.tif,G_p83,2018,G,p83,CV,4,3.26,NA
2018_G_p83_5.tif,G_p83,2018,G,p83,CV,5,3.47,NA
2018_G_p83_6.tif,G_p83,2018,G,p83,CV,6,3.16,NA
2018_G_p83_7.tif,G_p83,2018,G,p83,CV,7,3.08,NA
2018_G_p83_8.tif,G_p83,2018,G,p83,CV,8,2.98,NA
2018_G_p83_9.tif,G_p83,2018,G,p83,CV,9,3.22,NA
2018_G_p83_10.tif,G_p83,2018,G,p83,CV,10,3.3,NA
